ID;Name (popup text);Breitengrad;Längengrad;Comment;Marker;Größe;Farbe;;;
1;offen;50.830278;12.916944;-;circle;small;#616161;;;
2;offen;50.829722;12.919722;-;circle;small;#616161;;;
3;offen;50.850657;12.89281;-;circle;small;#616161;;;
4;offen;50.838902;12.90685;-;circle;small;#616161;;;
5;offen;50.807486;12.936229;-;circle;small;#616161;;;
6;offen;50.830711;12.93893;-;circle;small;#616161;;;
7;offen;50.828889;12.915833;-;circle;small;#616161;;;
8;offen;50.836389;12.919722;-;circle;small;#616161;;;
9;offen;50.845833;12.925833;-;circle;small;#616161;;;
10;offen;50.846111;12.93;-;circle;small;#616161;;;
11;offen;50.828889;12.923333;-;circle;small;#616161;;;
12;offen;50.828889;12.923333;-;circle;small;#616161;;;
13;offen;50.822222;12.917778;-;circle;small;#616161;;;
14;offen;50.795278;12.885556;-;circle;small;#616161;;;
15;offen;50.806389;12.93;-;circle;small;#616161;;;
16;offen;50.816667;12.901111;-;circle;small;#616161;;;
17;offen;50.79666;12.909444;-;circle;small;#616161;;;
18;offen;50.799167;12.897778;-;circle;small;#616161;;;
19;offen;50.8475;12.899167;-;circle;small;#616161;;;
20;offen;50.852222;12.886111;-;circle;small;#616161;;;
21;offen;50.831667;12.952222;-;circle;small;#616161;;;
22;offen;50.832222;12.925;-;circle;small;#616161;;;
23;offen;50.821389;12.9425;-;circle;small;#616161;;;
24;offen;50.829722;12.926667;-;circle;small;#616161;;;
25;offen;50.826389;12.928889;-;circle;small;#616161;;;
26;offen;50.847222;12.943333;-;circle;small;#616161;;;
27;offen;50.847222;12.943333;-;circle;small;#616161;;;
28;offen;50.829722;12.916389;-;circle;small;#616161;;;
29;offen;50.830556;12.916389;-;circle;small;#616161;;;
30;offen;50.831944;12.914722;-;circle;small;#616161;;;
31;offen;50.816261;12.841286;-;circle;small;#616161;;;
32;offen;50.8605152;12.9227655;-;circle;small;#616161;;;
33;offen;50.834444;12.915556;-;circle;small;#616161;;;
34;offen;50.835556;12.918611;-;circle;small;#616161;;;
35;offen;50.838333;12.910833;-;circle;small;#616161;;;
36;offen;50.846389;12.931111;-;circle;small;#616161;;;
37;offen;50.835;12.924722;-;circle;small;#616161;;;
38;offen;50.837222;12.906667;-;circle;small;#616161;;;
39;offen;50.826667;12.920278;-;circle;small;#616161;;;
