ID;Name (popup text);Breitengrad;Längengrad;Marker;Größe;Farbe;Kommentar;;;
1;genehmigt OB Wahl 2020;50.840661;12.912863;campsite;medium;#46962b;-;;;
2;genehmigt OB Wahl 2020;50.822012;12.958920;campsite;medium;#46962b;-;;;
3;genehmigt OB Wahl 2020;50.822087;12.960291;campsite;medium;#46962b;-;;;
4;genehmigt OB Wahl 2020;50.814209;12.897686;campsite;medium;#46962b;-;;;
5;genehmigt OB Wahl 2020;50.820997;12.876288;campsite;medium;#46962b;viele Weiterreisende;;;
6;genehmigt OB Wahl 2020;50.821292;12.876157;campsite;medium;#46962b;Radverkehr;;;
7;genehmigt OB Wahl 2020;50.839906;12.938804;campsite;medium;#46962b;-;;;
8;genehmigt OB Wahl 2020;50.845417;12.937898;campsite;medium;#46962b;-;;;
9;genehmigt OB Wahl 2020;50.834741;12.917951;campsite;medium;#46962b;-;;;
10;genehmigt OB Wahl 2020;50.833022;12.918450;campsite;medium;#46962b;-;;;
11;genehmigt OB Wahl 2020;50.833945;12.919236;campsite;medium;#46962b;-;;;
12;genehmigt OB Wahl 2020;50.833220;12.921513;campsite;medium;#46962b;-;;;
13;genehmigt OB Wahl 2020;50.833750;12.922669;campsite;medium;#46962b;-;;;
14;genehmigt OB Wahl 2020;50.834014;12.922178;campsite;medium;#46962b;-;;;
15;genehmigt OB Wahl 2020;50.832181;12.919005;campsite;medium;#46962b;-;;;
16;genehmigt OB Wahl 2020;50.835079;12.923595;campsite;medium;#46962b;-;;;
17;genehmigt OB Wahl 2020;50.829666;12.902423;campsite;medium;#46962b;-;;;
18;genehmigt OB Wahl 2020;50.841416;12.875020;campsite;medium;#46962b;-;;;
19;genehmigt OB Wahl 2020;50.841357;12.874604;campsite;medium;#46962b;-;;;
20;genehmigt OB Wahl 2020;50.842547;12.924734;campsite;medium;#46962b;-;;;
21;genehmigt OB Wahl 2020;50.847988;12.911301;campsite;medium;#46962b;-;;;
22;genehmigt OB Wahl 2020;50.846550;12.909362;campsite;medium;#46962b;-;;;
